Technique ID,Technique Name,Is Sub-Technique,Parent Technique ID,Parent Technique Name,Tactics,Platforms,Data Components,Data Component Count,Log Sources,Log Source Count,Threat Groups Using This Technique,Threat Group Count
T1543.003,Create or Modify System Process: Windows Service,True,T1543,Create or Modify System Process,"Persistence, Privilege Escalation",Windows,"Driver Load
Process Creation
Service Creation
Windows Registry Key Modification",4,"WinEventLog:Security
WinEventLog:Sysmon",2,"APT19, APT3, APT32, APT38, APT41, Agrius, Aquatic Panda, BlackByte, Blue Mockingbird, Carbanak, Cinnamon Tempest, Cobalt Group, DarkVishnya, Earth Lusca, FIN7, Ke3chang, Kimsuky, Lazarus Group, Lotus Blossom, Medusa Group, OilRig, PROMETHIUM, TeamTNT, Threat Group-3390, Tropic Trooper, Wizard Spider",26
T1543.004,Create or Modify System Process: Launch Daemon,True,T1543,Create or Modify System Process,"Persistence, Privilege Escalation",macOS,"File Creation
File Modification
Process Creation
Service Creation",4,"fs:launchdaemons
macos:unifiedlog",2,,0
T1543.005,Create or Modify System Process: Container Service,True,T1543,Create or Modify System Process,"Persistence, Privilege Escalation",Containers,"Container Creation
Pod Creation
Process Creation
Service Creation",4,"auditd:SYSCALL
kubernetes:audit
systemd:unit",3,,0
T1546,Event Triggered Execution,False,,,"Persistence, Privilege Escalation","IaaS, Linux, Office Suite, SaaS, Windows, macOS","Cloud Service Modification
Command Execution
File Metadata
File Modification
Network Traffic Content
Process Creation
Scheduled Job Creation
Script Execution
WMI Creation
Windows Registry Key Modification",10,"AWS:CloudTrail
WinEventLog:Security
WinEventLog:Sysmon
WinEventLog:WMI
auditd:SYSCALL
linux:syslog
m365:office
m365:unified
macos:unifiedlog",9,,0
T1546.001,Event Triggered Execution: Change Default File Association,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Logon Session Metadata
Process Creation
Windows Registry Key Modification",3,"WinEventLog:Security
WinEventLog:Sysmon",2,Kimsuky,1
T1546.002,Event Triggered Execution: Screensaver,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Process Creation
Windows Registry Key Modification",2,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1546.003,Event Triggered Execution: Windows Management Instrumentation Event Subscription,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Module Load
Process Creation
WMI Creation",3,"WinEventLog:Sysmon
WinEventLog:WMI",2,"APT29, APT33, Blue Mockingbird, FIN8, HEXANE, Leviathan, Metador, Mustang Panda, Rancor, Turla",10
T1546.004,Event Triggered Execution: Unix Shell Configuration Modification,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation","Linux, macOS","File Modification
Network Traffic Content
Process Creation",3,"NSM:Flow
auditd:EXECVE
auditd:SYSCALL
macos:endpointsecurity
macos:unifiedlog",5,Contagious Interview,1
T1546.005,Event Triggered Execution: Trap,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation","Linux, macOS","File Access
File Modification
Process Creation",3,"auditd:SYSCALL
macos:unifiedlog",2,,0
T1546.006,Event Triggered Execution: LC_LOAD_DYLIB Addition,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",macOS,"File Metadata
File Modification
Module Load",3,macos:unifiedlog,1,,0
T1546.007,Event Triggered Execution: Netsh Helper DLL,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Module Load
Process Creation
Windows Registry Key Modification",3,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1546.008,Event Triggered Execution: Accessibility Features,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"File Creation
File Metadata
Process Creation
Windows Registry Key Modification",4,WinEventLog:Sysmon,1,"APT29, APT3, APT41, Axiom, Deep Panda, Fox Kitten",6
T1546.009,Event Triggered Execution: AppCert DLLs,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Module Load
Process Creation
Windows Registry Key Modification",3,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1546.010,Event Triggered Execution: AppInit DLLs,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Module Load
Process Creation
Windows Registry Key Modification",3,WinEventLog:Sysmon,1,APT39,1
T1546.011,Event Triggered Execution: Application Shimming,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"File Creation
Module Load
Process Creation
Windows Registry Key Modification",4,"WinEventLog:Security
WinEventLog:Sysmon",2,FIN7,1
T1546.012,Event Triggered Execution: Image File Execution Options Injection,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Process Access
Process Creation
Windows Registry Key Creation
Windows Registry Key Modification",4,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1546.013,Event Triggered Execution: PowerShell Profile,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Command Execution
File Creation
File Modification
Process Creation",4,"WinEventLog:PowerShell
WinEventLog:Sysmon",2,Turla,1
T1546.014,Event Triggered Execution: Emond,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",macOS,"Command Execution
File Creation
File Modification
Process Creation",4,macos:unifiedlog,1,,0
T1546.015,Event Triggered Execution: Component Object Model Hijacking,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Windows,"Module Load
Process Creation
Windows Registry Key Modification",3,"WinEventLog:Security
WinEventLog:Sysmon",2,APT28,1
T1546.016,Event Triggered Execution: Installer Packages,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation","Linux, Windows, macOS","File Creation
Process Creation",2,"WinEventLog:Sysmon
auditd:SYSCALL
macos:unifiedlog",3,,0
T1546.017,Event Triggered Execution: Udev Rules,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation",Linux,"Command Execution
File Modification
Process Creation",3,"auditd:CONFIG_CHANGE
auditd:SYSCALL",2,,0
T1546.018,Event Triggered Execution: Python Startup Hooks,True,T1546,Event Triggered Execution,"Persistence, Privilege Escalation","Linux, Windows, macOS","File Metadata
File Modification
Network Traffic Content
Process Creation",4,"NSM:Flow
auditd:CONFIG_CHANGE
auditd:PATH
auditd:SYSCALL",4,,0
T1547,Boot or Logon Autostart Execution,False,,,"Persistence, Privilege Escalation","Linux, Network Devices, Windows, macOS","File Creation
File Modification
Process Creation
Service Metadata
Windows Registry Key Modification",5,"WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
macos:unifiedlog",4,APT42,1
T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"File Creation
Process Creation
Windows Registry Key Modification",3,"WinEventLog:Microsoft-Windows-Shell-Core
WinEventLog:Sysmon",2,"APT18, APT19, APT28, APT29, APT3, APT32, APT33, APT37, APT39, APT41, BRONZE BUTLER, BlackByte, Cobalt Group, Confucius, Contagious Interview, Dark Caracal, Darkhotel, Dragonfly, FIN10, FIN13, FIN6, FIN7, Gamaredon Group, Gorgon Group, Higaisa, Inception, Ke3chang, Kimsuky, Lazarus Group, LazyScripter, Leviathan, LuminousMoth, Magic Hound, Molerats, Moonstone Sleet, MuddyWater, Mustang Panda, Naikon, PROMETHIUM, Patchwork, Putter Panda, RTM, RedCurl, Rocke, Sidewinder, Silence, Storm-1811, TA2541, TeamTNT, Threat Group-3390, Tropic Trooper, Turla, Windshift, Wizard Spider, ZIRCONIUM",55
T1547.002,Boot or Logon Autostart Execution: Authentication Package,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"Module Load
Windows Registry Key Modification",2,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1547.003,Boot or Logon Autostart Execution: Time Providers,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"File Creation
Module Load
Process Creation
Windows Registry Key Modification",4,WinEventLog:Sysmon,1,,0
T1547.004,Boot or Logon Autostart Execution: Winlogon Helper DLL,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"Module Load
Process Creation
Windows Registry Key Access
Windows Registry Key Modification",4,"Autoruns:RegistryScan
WinEventLog:Security
WinEventLog:Sysmon",3,"Tropic Trooper, Turla, Wizard Spider",3
T1547.005,Boot or Logon Autostart Execution: Security Support Provider,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"Module Load
Process Creation
Windows Registry Key Modification",3,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1547.006,Boot or Logon Autostart Execution: Kernel Modules and Extensions,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation","Linux, macOS","Command Execution
File Creation
File Modification
Kernel Module Load
Process Creation",5,"auditd:SYSCALL
linux:osquery
macos:osquery
macos:unifiedlog",4,,0
T1547.007,Boot or Logon Autostart Execution: Re-opened Applications,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",macOS,"File Metadata
File Modification
Logon Session Metadata
Process Creation",4,"fs:filesystem
macos:endpointsecurity
macos:unifiedlog",3,,0
T1547.008,Boot or Logon Autostart Execution: LSASS Driver,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"Driver Load
File Creation
File Modification
Module Load
Windows Registry Key Creation
Windows Registry Key Modification",6,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1547.009,Boot or Logon Autostart Execution: Shortcut Modification,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"File Creation
File Metadata
File Modification
Process Creation",4,WinEventLog:Sysmon,1,"APT39, Gorgon Group, Lazarus Group, Leviathan",4
T1547.010,Boot or Logon Autostart Execution: Port Monitors,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"File Creation
Module Load
OS API Execution
Process Creation
Windows Registry Key Modification",5,"WinEventLog:Application
WinEventLog:Sysmon",2,,0
T1547.012,Boot or Logon Autostart Execution: Print Processors,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"File Creation
Module Load
Process Access
Windows Registry Key Modification",4,WinEventLog:Sysmon,1,Earth Lusca,1
T1547.013,Boot or Logon Autostart Execution: XDG Autostart Entries,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Linux,"File Access
File Creation
File Metadata
Logon Session Creation
Process Creation",5,"auditd:EXECVE
auditd:SYSCALL
linux:auth
linux:osquery",4,Contagious Interview,1
T1547.014,Boot or Logon Autostart Execution: Active Setup,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",Windows,"Logon Session Metadata
Process Creation
Windows Registry Key Creation
Windows Registry Key Modification",4,"WinEventLog:Security
WinEventLog:Sysmon",2,,0
T1547.015,Boot or Logon Autostart Execution: Login Items,True,T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",macOS,"File Modification
OS API Execution
Process Creation
Script Execution",4,macos:unifiedlog,1,,0
T1548,Abuse Elevation Control Mechanism,False,,,"Defense Evasion, Privilege Escalation","IaaS, Identity Provider, Linux, Office Suite, Windows, macOS","File Metadata
Logon Session Metadata
OS API Execution
Process Creation
Process Metadata
User Account Modification
Windows Registry Key Modification",7,"AWS:CloudTrail
WinEventLog:Security
WinEventLog:Sysmon
auditd:SYSCALL
azure:signinlogs
fs:fsusage
macos:unifiedlog",7,UNC3886,1
T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,True,T1548,Abuse Elevation Control Mechanism,"Defense Evasion, Privilege Escalation","Linux, macOS","Command Execution
Process Creation
Process Metadata",3,"auditd:SYSCALL
macos:unifiedlog",2,,0
